                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0861,                 102.17,                 2.4144,                      0,                      0,                      0,                      0,                 2.2146,                 222.03,                 1.2812,             0.00025005,             0.00025005,             0.00025005
                      2,                 4.5086,                  93.57,                 2.5244,                      0,                      0,                      0,                      0,                 2.3544,                 208.12,                 1.3456,             0.00050078,             0.00050078,             0.00050078
                      3,                 5.5652,                 52.471,                 2.7676,                      0,                      0,                      0,                      0,                 2.4608,                  165.4,                 1.3738,             0.00073501,             0.00073501,             0.00073501
                      4,                 3.8925,                   5.89,                 2.0271,                      0,                      0,                      0,                      0,                 2.1815,                 134.45,                 1.2322,             0.00095274,             0.00095274,             0.00095274
                      5,                 3.2056,                 3.2868,                 1.6269,                      0,                      0,                      0,                      0,                 1.1727,                 117.24,                0.72924,               0.001154,               0.001154,               0.001154
                      6,                 3.0072,                 2.1147,                  1.369,                0.00071,                0.01317,                0.01018,                0.00338,                 5.2735,                 30.783,                 1.9784,              0.0013387,              0.0013387,              0.0013387
                      7,                 2.9383,                 1.8916,                 1.2494,                0.21847,                0.23338,                0.17694,                0.05367,                 2.7273,                 2.0142,                 1.2916,              0.0013576,              0.0013576,              0.0013576
                      8,                 2.7096,                 1.7596,                 1.1692,                0.75963,                0.28435,                0.26466,                0.08498,                 2.4177,                 1.6034,                 1.1442,               0.001306,               0.001306,               0.001306
                      9,                 2.5425,                 1.6107,                 1.0988,                0.81417,                0.30387,                0.33288,                0.11643,                 2.2889,                 1.5015,                 1.0979,              0.0012544,              0.0012544,              0.0012544
                     10,                 2.3903,                 1.5142,                 1.0919,                0.84069,                0.34379,                0.37056,                0.14271,                 2.1697,                 1.3761,                 1.0501,              0.0012028,              0.0012028,              0.0012028
                     11,                 2.3365,                 1.4183,                 1.0784,                0.87452,                0.36386,                0.39412,                0.16343,                 2.0756,                 1.3246,                 1.0409,              0.0011513,              0.0011513,              0.0011513
                     12,                 2.3293,                 1.3946,                 1.0567,                0.87404,                0.36839,                0.41017,                0.16654,                 2.0427,                  1.357,                 1.0222,              0.0010997,              0.0010997,              0.0010997
                     13,                 2.2219,                 1.3453,                 1.0368,                0.88782,                0.36979,                0.41591,                0.16022,                  2.113,                 1.3084,                 1.0273,              0.0010481,              0.0010481,              0.0010481
                     14,                 2.2654,                 1.3115,                 1.0486,                0.91609,                0.38573,                0.43939,                0.18887,                 1.9616,                 1.2372,                 1.0004,             0.00099655,             0.00099655,             0.00099655
                     15,                 2.1757,                 1.3075,                 1.0297,                0.91156,                0.38143,                0.43574,                0.18726,                 1.9235,                 1.2202,                0.98862,             0.00094498,             0.00094498,             0.00094498
                     16,                 2.1195,                 1.2676,                 1.0062,                 0.9107,                0.39382,                 0.4489,                0.19266,                 1.9225,                 1.1966,                0.98915,             0.00089341,             0.00089341,             0.00089341
                     17,                 2.1029,                 1.2518,                0.99606,                0.91023,                0.39349,                0.44366,                0.19035,                 1.9166,                 1.1899,                0.98802,             0.00084184,             0.00084184,             0.00084184
                     18,                 2.1384,                 1.2102,                 1.0041,                0.90653,                0.38331,                  0.433,                0.17091,                 1.9742,                 1.2168,                0.99192,             0.00079026,             0.00079026,             0.00079026
                     19,                 2.0666,                 1.2002,                 1.0008,                0.92241,                0.40387,                0.45676,                0.20946,                  1.839,                 1.1225,                0.97434,             0.00073869,             0.00073869,             0.00073869
                     20,                 2.0783,                 1.2026,                 0.9929,                0.91259,                0.40418,                0.44809,                0.19166,                 1.8624,                 1.1573,                0.97913,             0.00068712,             0.00068712,             0.00068712
                     21,                 2.0194,                 1.1923,                0.98654,                0.92565,                0.41125,                0.46419,                0.20976,                 1.8465,                 1.1033,                0.97624,             0.00063554,             0.00063554,             0.00063554
                     22,                 2.0033,                 1.1999,                0.99577,                0.92726,                0.41085,                0.46606,                0.21937,                 1.7884,                 1.0829,                 0.9661,             0.00058397,             0.00058397,             0.00058397
                     23,                 1.9211,                 1.1867,                 1.0207,                0.92123,                0.41327,                 0.4696,                0.21614,                  1.832,                 1.1229,                0.96682,              0.0005324,              0.0005324,              0.0005324
                     24,                 1.8618,                 1.1712,                 1.0174,                0.92564,                0.40845,                0.47656,                0.22421,                 1.7899,                 1.0864,                0.96287,             0.00048083,             0.00048083,             0.00048083
                     25,                  1.857,                 1.1435,                  1.006,                0.92595,                0.40959,                 0.4863,                0.22706,                 1.8237,                 1.0897,                0.96624,             0.00042925,             0.00042925,             0.00042925
                     26,                 1.8502,                 1.1472,                 1.0249,                0.93237,                0.40888,                 0.4889,                 0.2225,                 1.8635,                  1.076,                0.97023,             0.00037768,             0.00037768,             0.00037768
