                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1169,                 22.861,                   3.95,                  7e-05,                0.00179,                  4e-05,                  1e-05,                 4.5485,                  53.89,                 3.3278,             0.00045009,             0.00045009,             0.00045009
                      2,                  4.343,                 6.5036,                 3.6059,                  5e-05,                0.00049,                  3e-05,                  1e-05,                 4.5394,                 41.006,                 3.3251,              0.0008987,              0.0008987,              0.0008987
                      3,                 3.3777,                 2.7126,                  2.152,                  4e-05,                0.00039,                  2e-05,                  1e-05,                 4.4547,                 30.893,                 3.1097,              0.0013288,              0.0013288,              0.0013288
                      4,                 2.8688,                 1.9737,                 1.5686,                0.63223,                0.22765,                0.10084,                0.02974,                 2.7873,                 2.4841,                  1.592,               0.001568,               0.001568,               0.001568
                      5,                 2.6086,                 1.7025,                 1.4751,                0.27149,                0.48591,                0.37183,                0.12798,                 2.3459,                 1.8954,                  1.366,               0.001535,               0.001535,               0.001535
                      6,                  2.318,                 1.5217,                 1.3665,                0.66807,                 0.3667,                0.46809,                0.17564,                  2.186,                 1.5398,                   1.26,               0.001502,               0.001502,               0.001502
                      7,                 2.3244,                 1.4437,                 1.3002,                0.48428,                0.61639,                0.56205,                0.22695,                 2.0789,                 1.3715,                 1.1929,               0.001469,               0.001469,               0.001469
                      8,                 2.1724,                 1.3377,                  1.259,                0.74193,                0.67108,                0.74977,                0.32228,                 1.9953,                 1.2426,                 1.1649,               0.001436,               0.001436,               0.001436
                      9,                 2.1483,                 1.2831,                 1.1956,                0.64356,                0.70282,                0.63326,                0.28594,                  1.928,                 1.3106,                 1.1306,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.0913,                 1.2761,                 1.1938,                0.85745,                0.75885,                0.83828,                0.37469,                 1.9244,                   1.13,                 1.1294,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.0496,                  1.179,                 1.1382,                0.76319,                0.79663,                0.84466,                0.37844,                 1.8797,                 1.0958,                 1.1183,              0.0013369,              0.0013369,              0.0013369
                     12,                  2.023,                  1.156,                 1.1472,                0.82927,                 0.8121,                0.84476,                0.37597,                  1.884,                  1.105,                 1.1151,              0.0013039,              0.0013039,              0.0013039
