                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90852,                 128.16,                0.53394,                      0,                      0,                      0,                      0,                0.49163,                 176.95,                0.28477,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 3.0902,                 123.27,                 1.8434,                      0,                      0,                      0,                      0,                0.49141,                 177.48,                0.28452,             0.00017429,             0.00017429,             0.00017429
                      3,                 3.3359,                 110.57,                 1.9606,                      0,                      0,                      0,                      0,                 0.4954,                 177.17,                0.28648,             0.00025533,             0.00025533,             0.00025533
                      4,                 1.5361,                 105.37,                0.87108,                      0,                      0,                      0,                      0,                0.50293,                 176.31,                0.29025,             0.00032647,             0.00032647,             0.00032647
                      5,                   2.51,                 100.11,                 1.4133,                      0,                      0,                      0,                      0,                0.51338,                 173.16,                0.29547,             0.00038771,             0.00038771,             0.00038771
                      6,                 1.5414,                   94.3,                0.82201,                      0,                      0,                      0,                      0,                0.51168,                 166.65,                0.29421,             0.00043905,             0.00043905,             0.00043905
                      7,                 2.7899,                 91.187,                 1.4863,                      0,                      0,                      0,                      0,                0.49597,                 156.57,                0.28535,             0.00048048,             0.00048048,             0.00048048
                      8,                 5.3896,                 76.455,                 2.3912,                      0,                      0,                      0,                      0,                0.45353,                 145.14,                0.26231,             0.00051201,             0.00051201,             0.00051201
                      9,                 6.2331,                 41.003,                 2.4503,                      0,                      0,                      0,                      0,                0.43769,                 127.53,                0.25248,             0.00053364,             0.00053364,             0.00053364
                     10,                 5.2163,                 22.589,                 2.3451,                      0,                      0,                      0,                      0,                0.43745,                 119.63,                0.25119,             0.00054537,             0.00054537,             0.00054537
                     11,                 4.6172,                 10.064,                 2.1064,                      0,                      0,                      0,                      0,                0.36546,                 114.05,                0.21279,             0.00054719,             0.00054719,             0.00054719
                     12,                 4.1558,                 8.2476,                  2.006,                      0,                      0,                      0,                      0,                0.28162,                 110.28,                0.16768,             0.00053912,             0.00053912,             0.00053912
                     13,                 3.9546,                 6.4486,                 1.9231,                      0,                      0,                      0,                      0,                0.24475,                 108.48,                0.14734,             0.00052114,             0.00052114,             0.00052114
                     14,                 3.5047,                  5.171,                 1.7822,                      0,                      0,                      0,                      0,                 0.2148,                 107.13,                0.13035,             0.00049326,             0.00049326,             0.00049326
                     15,                 3.4109,                 4.7672,                  1.651,                      0,                      0,                      0,                      0,                0.20961,                 107.34,                0.12721,             0.00045547,             0.00045547,             0.00045547
                     16,                 3.3949,                 4.5931,                 1.6151,                      0,                      0,                      0,                      0,                0.27556,                 110.48,                0.16188,             0.00040779,             0.00040779,             0.00040779
                     17,                  3.162,                 3.9416,                 1.5277,                      0,                      0,                      0,                      0,                0.39802,                 115.67,                0.22579,             0.00034674,             0.00034674,             0.00034674
                     18,                 2.9322,                 3.3287,                 1.5192,                      0,                      0,                      0,                      0,                 1.8212,                 132.94,                0.86854,             0.00026422,             0.00026422,             0.00026422
                     19,                   2.98,                 2.8507,                 1.4939,                      0,                      0,                      0,                      0,                 4.2791,                 140.51,                 1.6955,              0.0001817,              0.0001817,              0.0001817
                     20,                 3.0095,                 2.7637,                   1.54,                      0,                      0,                      0,                      0,                 5.5616,                 30.817,                 1.8352,             9.9187e-05,             9.9187e-05,             9.9187e-05
