                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90852,                 128.16,                0.53394,                      0,                      0,                      0,                      0,                0.49163,                 176.95,                0.28477,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 3.0863,                 123.21,                 1.8404,                      0,                      0,                      0,                      0,                0.49148,                 177.48,                0.28455,             0.00017974,             0.00017974,             0.00017974
                      3,                 3.3226,                 110.09,                 1.9524,                      0,                      0,                      0,                      0,                0.49577,                 177.11,                0.28666,             0.00027217,             0.00027217,             0.00027217
                      4,                 1.5584,                  104.7,                0.88207,                      0,                      0,                      0,                      0,                0.50383,                 176.05,                 0.2907,             0.00036064,             0.00036064,             0.00036064
                      5,                 2.6524,                  99.26,                 1.4863,                      0,                      0,                      0,                      0,                0.51418,                 172.04,                0.29586,             0.00044514,             0.00044514,             0.00044514
                      6,                  1.889,                 93.203,                0.97504,                      0,                      0,                      0,                      0,                0.50586,                 164.45,                0.29117,             0.00052569,             0.00052569,             0.00052569
                      7,                 3.4444,                 90.468,                 1.7772,                      0,                      0,                      0,                      0,                0.46977,                 151.11,                0.27156,             0.00060227,             0.00060227,             0.00060227
                      8,                 6.6079,                 46.068,                 2.6936,                      0,                      0,                      0,                      0,                0.43227,                 134.38,                0.25015,              0.0006749,              0.0006749,              0.0006749
                      9,                 5.4289,                 15.229,                 2.2907,                      0,                      0,                      0,                      0,                0.40056,                 119.55,                0.23149,             0.00074356,             0.00074356,             0.00074356
                     10,                 5.0041,                 16.394,                  2.268,                      0,                      0,                      0,                      0,                0.30318,                 109.66,                0.17941,             0.00080826,             0.00080826,             0.00080826
                     11,                 4.8601,                 9.9783,                 2.1781,                      0,                      0,                      0,                      0,                0.25757,                 103.78,                0.15402,             0.00086901,             0.00086901,             0.00086901
                     12,                 4.4799,                 6.9651,                 2.0641,                      0,                      0,                      0,                      0,                0.25811,                 102.02,                0.15389,             0.00092579,             0.00092579,             0.00092579
                     13,                 4.1797,                 5.2834,                 1.8334,                      0,                      0,                      0,                      0,                0.22948,                 103.03,                0.13808,             0.00097861,             0.00097861,             0.00097861
                     14,                 3.6756,                 4.3339,                 1.5207,                      0,                      0,                      0,                      0,                0.28323,                 112.66,                0.16799,              0.0010275,              0.0010275,              0.0010275
                     15,                 3.5017,                 3.4193,                 1.4356,                      0,                      0,                      0,                      0,                0.76051,                 127.17,                 0.4176,              0.0010724,              0.0010724,              0.0010724
                     16,                 3.2347,                 2.7182,                 1.4203,                      0,                      0,                      0,                      0,                 1.2391,                 154.32,                 0.6547,              0.0011133,              0.0011133,              0.0011133
                     17,                 3.0585,                 2.4598,                 1.2755,                      0,                      0,                      0,                      0,                  2.104,                 174.49,                 1.0409,              0.0011389,              0.0011389,              0.0011389
                     18,                 3.0092,                 2.3867,                 1.2312,                0.00012,                0.00107,                0.00131,                0.00064,                 5.8228,                 49.672,                 1.8467,              0.0011059,              0.0011059,              0.0011059
                     19,                 2.8096,                 2.1133,                 1.1618,                0.00144,                0.01281,                 0.0084,                0.00266,                 4.6778,                 13.476,                 1.5714,              0.0010729,              0.0010729,              0.0010729
                     20,                 2.7136,                   1.98,                 1.1527,                0.00994,                0.13586,                0.05932,                0.01745,                 3.2197,                 4.0122,                 1.2925,              0.0010399,              0.0010399,              0.0010399
                     21,                 2.6895,                 1.8471,                 1.1249,                0.75494,                0.08911,                0.09586,                 0.0277,                 2.9015,                 3.1278,                 1.2122,              0.0010069,              0.0010069,              0.0010069
                     22,                 2.8712,                 1.8402,                 1.1076,                0.69482,                0.13501,                 0.1336,                0.03969,                 2.7009,                 2.4333,                 1.1626,             0.00097386,             0.00097386,             0.00097386
